date,open_1day,high_1day,low_1day,close_1day,volume_1day,eqy_float,turnover_1day,open_1min,high_1min,low_1min,close_1min,volume_1min,turnover_1min,volume_proportion
2022/8/19,168.45,171.92,167.88,171.67,1041438,135.837,0.0077,171.735,171.92,171.53,171.69,32772,0.0002,0.031468028
2022/8/22,170.76,171.26,166,166.36,951458,135.837,0.007,166.28,166.58,166.246,166.36,192941,0.0014,0.202784569
2022/8/23,166,166.822,161.53,163.56,1045925,135.837,0.0077,163.57,163.73,163.5,163.52,12909,0.0001,0.012342185
2022/8/24,163.56,165.65,162.52,164.12,688691,135.837,0.0051,164.25,164.25,163.92,164.12,110672,0.0008,0.160699065
2022/8/25,164.65,165.83,162.4701,164.37,627604,135.837,0.0046,164.18,164.53,164.18,164.38,22699,0.0002,0.036167711
2022/8/26,152.99,157.5899,147.93,155.01,4257426,135.837,0.0313,155,155.08,154.845,155.01,238326,0.0018,0.055978894
2022/8/29,151.93,159.47,151.36,157.37,1064723,135.837,0.0078,157.3,157.51,157.22,157.37,82730,0.0006,0.077700961
2022/8/30,157,157.65,155.1,155.71,684772,135.837,0.005,155.69,155.83,155.6,155.71,104539,0.0008,0.152662492
2022/8/31,155.85,156.55,152.93,154.29,1158401,135.837,0.0085,154.46,154.47,154.24,154.34,18314,0.0001,0.015809724
2022/9/1,153.24,156.22,150.95,155.96,649584,135.837,0.0048,156.1,156.22,155.85,155.96,17257,0.0001,0.026566233
2022/9/2,155.32,156.0101,151.59,152.34,686461,135.855,0.0051,152.21,152.44,152.18,152.34,130060,0.001,0.189464514
2022/9/6,151.61,151.67,148.02,149.02,970839,135.855,0.0071,148.8,149.19,148.73,149.02,146397,0.0011,0.150794313
2022/9/7,148.75,153.25,147.81,152.43,797766,135.855,0.0059,152.62,152.68,152.29,152.43,186290,0.0014,0.233514589
2022/9/8,152.85,154,150.63,152.64,512810,135.855,0.0038,152.5,152.66,152.4,152.64,85324,0.0006,0.166385211
2022/9/9,152.64,155.86,151.56,155.47,670202,135.855,0.0049,155.43,155.51,155.36,155.47,134664,0.001,0.200930466
2022/9/12,155.66,155.66,149.74,150.1,966904,135.855,0.0071,150.05,150.12,149.92,150.1,144993,0.0011,0.149955942
2022/9/13,147.75,149.055,144.07,144.43,1240917,135.855,0.0091,144.555,144.6,144.25,144.43,259856,0.0019,0.209406431
2022/9/14,144.43,145.07,141.52,143.67,1043578,135.855,0.0077,143.62,143.93,143.6,143.77,17331,0.0001,0.016607288
2022/9/15,142.78,143.17,139.85,141.31,876254,135.855,0.0064,141.46,141.53,141.31,141.31,137121,0.001,0.156485448
2022/9/16,139.09,142.46,138.205,142.03,1517075,135.855,0.0112,142.045,142.3,142.02,142.08,49604,0.0004,0.032697131
2022/9/19,141.97,143.26,137.84,139.42,1369560,135.855,0.0101,139.35,139.47,139.21,139.42,190459,0.0014,0.139065831
2022/9/20,139.58,142.23,138.935,141.99,954076,135.855,0.007,141.94,142.19,141.89,141.99,193047,0.0014,0.202339227
2022/9/21,142.61,146.26,140.61,141.55,1088908,135.855,0.008,141.55,141.66,141.51,141.55,111143,0.0008,0.102068311
2022/9/22,140.6,141.51,139.1,140.55,972721,135.855,0.0072,140.44,140.55,140.345,140.55,176763,0.0013,0.181720144
2022/9/23,140.05,140.73,137.8678,139.2,949653,135.855,0.007,139.12,139.35,139.12,139.2,144657,0.0011,0.152326165
2022/9/26,139.32,139.95,135.14,135.27,972805,135.855,0.0072,135.425,135.43,135.14,135.31,28208,0.0002,0.028996561
2022/9/27,136.8,138.42,134.96,135.35,800358,135.855,0.0059,135.395,135.47,135.33,135.35,133693,0.001,0.167041499
2022/9/28,138.06,138.415,136.18,137.72,986523,135.855,0.0073,137.74,137.8,137.64,137.72,161490,0.0012,0.163696133
2022/9/29,137.13,137.13,134.44,135.7,782140,135.855,0.0058,135.72,135.8,135.64,135.7,146635,0.0011,0.187479224
2022/9/30,136.45,138.35,135.9,136.83,896946,135.855,0.0066,137,137.09,136.82,136.83,205243,0.0015,0.228824255
2022/10/3,137.18,138.475,135.52,137.7,1068908,135.855,0.0079,137.68,137.7,137.64,137.68,14248,0.0001,0.013329491
2022/10/4,138.53,139.99,137.65,139.17,820165,135.855,0.006,139.03,139.31,138.98,139.17,159528,0.0012,0.194507203
2022/10/5,137.93,138.24,134.735,136.87,909654,135.855,0.0067,136.94,137.04,136.73,136.87,145011,0.0011,0.159413359
2022/10/6,136.92,137.837,135.48,136.28,628190,135.855,0.0046,136.21,136.28,136.09,136.28,169408,0.0012,0.269676372
2022/10/7,135.24,135.25,131.02,131.26,883128,135.855,0.0065,131.235,131.43,131.2,131.27,27149,0.0002,0.030741863
2022/10/10,131.59,133.38,130.32,130.95,516431,135.855,0.0038,131.04,131.15,130.79,130.95,144573,0.0011,0.279946401
2022/10/11,133.41,135.5,131.74,133.18,961639,135.855,0.0071,133.205,133.28,133.15,133.2,13727,0.0001,0.014274587
2022/10/12,133.52,134.99,131.3,133.29,567986,135.855,0.0042,133.32,133.36,133.25,133.29,74530,0.0005,0.131218023
2022/10/13,130.48,134.88,129.65,133.53,740287,135.855,0.0054,133.61,133.75,133.45,133.53,108257,0.0008,0.146236527
2022/10/14,134.94,135.53,132.38,133.4,691676,135.855,0.0051,133.35,133.51,133.26,133.4,130195,0.001,0.188231195
2022/10/17,133.94,137.49,133.83,135.99,770486,135.855,0.0057,135.94,136.05,135.85,135.99,175270,0.0013,0.227479798
2022/10/18,136.75,138.95,133.97,134.84,539624,135.855,0.004,134.49,134.89,134.49,134.84,71209,0.0005,0.131960402
2022/10/19,132.95,134.595,129.18,129.83,644612,135.855,0.0047,129.69,129.83,129.65,129.83,130534,0.001,0.202500109
2022/10/20,128.64,130.11,126.56,126.7,1319379,135.855,0.0097,126.765,126.81,126.56,126.7,305837,0.0023,0.23180375
2022/10/21,126.8,129.37,124.85,128.84,1319262,135.855,0.0097,128.86,128.94,128.7,128.84,226702,0.0017,0.171840014
2022/10/24,129.08,129.17,126.55,129.06,815863,135.855,0.006,128.99,129.09,128.94,129.06,121649,0.0009,0.14910469
2022/10/25,129.57,131.51,128.65,128.77,787312,135.855,0.0058,128.76,128.79,128.67,128.77,154922,0.0011,0.196773325
2022/10/26,129.52,131.7999,127.16,129.46,1289612,135.855,0.0095,129.4,129.54,129.33,129.46,168318,0.0012,0.130518326
2022/10/27,129.86,132.635,128.58,131.25,1660503,137.084,0.0121,131.15,131.46,131.05,131.25,215363,0.0016,0.129697447
2022/10/28,129.5,131.315,125,129.69,1650426,137.084,0.012,129.71,129.83,129.525,129.69,217544,0.0016,0.131810817
2022/10/31,129.29,130.5,126.29,127.16,1219352,137.084,0.0089,127.11,127.29,126.92,127.16,178277,0.0013,0.146206346
2022/11/1,126.85,128.37,124.57,126.69,919854,137.084,0.0067,126.61,126.82,126.56,126.69,119435,0.0009,0.129841257
